TXNAME	GENEID
XM_002176531.1	PHATRDRAFT_51345
XM_002176532.1	PHATRDRAFT_42538
XM_002177039.1	PHATRDRAFT_42539
XM_002176533.1	PHATRDRAFT_9342
XM_002177040.1	PHATRDRAFT_31556
XM_002177041.1	PHATRDRAFT_42542
XM_002177042.1	PHATRDRAFT_31558
XM_002176534.1	PHATRDRAFT_31559
XM_002177043.1	PHATRDRAFT_42543
XM_002176535.1	PHATRDRAFT_9185
XM_002177044.1	PHATRDRAFT_42545
XM_002176536.1	PHATRDRAFT_42546
XM_002176537.1	PHATRDRAFT_42547
XM_002177045.1	PHATRDRAFT_42548
XM_002176538.1	PHATRDRAFT_17259
XM_002176539.1	PHATRDRAFT_3062
XM_002176540.1	PHATRDRAFT_17265
XM_002176541.1	PHATRDRAFT_9546
XM_002177046.1	PHATRDRAFT_42552
XM_002176542.1	PHATRDRAFT_83
XM_002177047.1	PHATRDRAFT_31571
XM_002176543.1	PHATRDRAFT_42555
XM_002177048.1	PHATRDRAFT_42556
XM_002176544.1	PHATRDRAFT_42557
XM_002177049.1	PHATRDRAFT_5762
XM_002176545.1	PHATRDRAFT_42559
XM_002176546.1	PHATRDRAFT_42560
XM_002177050.1	PHATRDRAFT_31578
XM_002177051.1	PHATRDRAFT_42561
XM_002176547.1	PHATRDRAFT_17276
XM_002177052.1	PHATRDRAFT_42563
XM_002176548.1	PHATRDRAFT_42564
XM_002177053.1	PHATRDRAFT_42565
XM_002176549.1	PHATRDRAFT_31584
XM_002176550.1	PHATRDRAFT_42566
XM_002176551.1	PHATRDRAFT_42567
XM_002177054.1	PHATRDRAFT_42568
XM_002177055.1	PHATRDRAFT_42569
XM_002177056.1	PHATRDRAFT_42570
XM_002176552.1	PHATRDRAFT_42571
XM_002176553.1	PHATRDRAFT_24408
XM_002177057.1	PHATRDRAFT_9444
XM_002176554.1	PHATRDRAFT_42574
XM_002177058.1	PHATRDRAFT_31594
XM_002177059.1	PHATRDRAFT_3211
XM_002176555.1	PHATRDRAFT_42576
XM_002176556.1	PHATRDRAFT_42577
XM_002177060.1	PHATRDRAFT_42578
XM_002177061.1	PHATRDRAFT_31599
XM_002176557.1	PHATRDRAFT_9321
XM_002176558.1	PHATRDRAFT_42406
XM_002177062.1	PHATRDRAFT_42584
XM_002177063.1	PHATRDRAFT_31605
XM_002176559.1	PHATRDRAFT_42585
XM_002176560.1	PHATRDRAFT_42586
XM_002177064.1	PHATRDRAFT_42587
XM_002176561.1	PHATRDRAFT_42588
XM_002177065.1	PHATRDRAFT_17300
XM_002176562.1	PHATRDRAFT_42590
XM_002177066.1	PHATRDRAFT_42591
XM_002176563.1	PHATRDRAFT_42592
XM_002176564.1	PHATRDRAFT_42593
XM_002176565.1	PHATRDRAFT_42594
XM_002177067.1	PHATRDRAFT_42595
XM_002176566.1	PHATRDRAFT_31617
XM_002176567.1	PHATRDRAFT_42596
XM_002177068.1	PHATRDRAFT_31619
XM_002176568.1	PHATRDRAFT_31620
XM_002176569.1	PHATRDRAFT_974
XM_002177069.1	PHATRDRAFT_17304
XM_002177070.1	PHATRDRAFT_9283
XM_002177071.1	PHATRDRAFT_42600
XM_002177072.1	PHATRDRAFT_31625
XM_002177073.1	PHATRDRAFT_42601
XM_002176570.1	PHATRDRAFT_24439
XM_002177074.1	PHATRDRAFT_42603
XM_002177075.1	PHATRDRAFT_42604
XM_002176571.1	PHATRDRAFT_42605
XM_002176572.1	PHATRDRAFT_42606
